date,open,high,low,close
2020-12-29T00:00:00,1010,1032.5,1010,1032.5
2020-12-30T00:00:00,1045,1045,1045,1045
2020-12-31T00:00:00,1045,1045,1045,1045
2021-01-04T00:00:00,1050,1065,1050,1065
2021-01-05T00:00:00,1050,1090,1050,1090
2021-01-06T00:00:00,1090,1130,1090,1130
2021-01-07T00:00:00,1100,1110,1100,1110
2021-01-08T00:00:00,1090,1090,1090,1090
2021-01-11T00:00:00,1060,1060,1060,1060
2021-01-12T00:00:00,1040,1040,1032.5,1032.5
2021-01-13T00:00:00,1040,1040,1025,1025
2021-01-14T00:00:00,995,1015,995,1015
2021-01-15T00:00:00,1000,1000,980,980
2021-01-18T00:00:00,992.5,992.5,992.5,992.5
2021-01-19T00:00:00,970,970,967.5,967.5
2021-01-20T00:00:00,905,980,905,980
2021-01-21T00:00:00,995,995,995,995
2021-01-22T00:00:00,995,995,995,995
2021-01-25T00:00:00,990,1005,990,1005
2021-01-26T00:00:00,995,1005,995,1005
2021-01-27T00:00:00,1035,1035,1020,1020
2021-01-28T00:00:00,1030,1035,1030,1035
2021-01-29T00:00:00,1070,1070,1060,1060
2021-02-01T00:00:00,1060,1060,1055,1055
2021-02-02T00:00:00,1060,1060,1060,1060
2021-02-03T00:00:00,950,1060,950,1060
2021-02-04T00:00:00,1085,1085,1085,1085
2021-02-05T00:00:00,1100,1100,1070,1070
2021-02-08T00:00:00,1072.5,1072.5,1067.5,1067.5
2021-02-09T00:00:00,1125,1125,1110,1110
2021-02-10T00:00:00,1130,1130,1047.5,1047.5
2021-02-11T00:00:00,1070,1070,1057.5,1057.5
2021-02-12T00:00:00,1130,1130,1130,1130
2021-02-15T00:00:00,1150,1150,1150,1150
2021-02-16T00:00:00,1115,1115,1097.5,1097.5
2021-02-17T00:00:00,1120,1120,1107.5,1107.5
2021-02-18T00:00:00,1095,1095,1092.5,1092.5
2021-02-19T00:00:00,1105,1105,1105,1105
2021-02-22T00:00:00,1100,1100,1095,1095
2021-02-23T00:00:00,1130,1130,1120,1120
2021-02-24T00:00:00,1125,1125,1110,1110
2021-02-25T00:00:00,1120,1120,1110,1110
2021-02-26T00:00:00,1110,1110,1110,1110
2021-03-01T00:00:00,1105,1105,1095,1095
2021-03-02T00:00:00,1085,1085,1072.5,1072.5
2021-03-03T00:00:00,1100,1100,1075,1075
2021-03-04T00:00:00,1110,1110,1105,1105
2021-03-05T00:00:00,1105,1105,1105,1105
2021-03-08T00:00:00,1120,1120,1115,1115
2021-03-09T00:00:00,1122.5,1122.5,1115,1115
2021-03-10T00:00:00,1135,1135,1120,1120
2021-03-11T00:00:00,1155,1155,1150,1150
2021-03-12T00:00:00,1182.5,1182.5,1175,1175
2021-03-15T00:00:00,1185,1185,1165,1165
2021-03-16T00:00:00,1155,1155,1155,1155
2021-03-17T00:00:00,1165,1165,1155,1155
2021-03-18T00:00:00,1160,1160,1155,1155
2021-03-19T00:00:00,1150,1150,1150,1150
2021-03-22T00:00:00,1170,1180,1170,1180
2021-03-23T00:00:00,1180,1180,1170,1170
